text,target
What do I need to start service in my name as a resident?,To begin service in your name we require one piece of identification. While Social Security Number (SSN) is most used several other forms such as: Driver’s license/State ID matricula consular passport visa US Military ID citizenship and immigration services permanent resident card tribal ID for Oregon tribes current work or school ID are accepted. We’ll also need your birthdate the address of the property where you are needing service and the date that you accepted financial responsibility of that location. Please note if you have previously been registered with our online services your email address and password will be helpful to have available.
How do I transfer my service to someone else as a resident?,We would suggest removing the service from your name first at https://portlandgeneral.com/secure/service/stop. This will require you to be registered for online services. Then the individual taking over responsibility will need to either request service online at portlandgeneral.com or call us at 800-542-8818 7am to 7pm M-F.
How do I start service on behalf of someone else as a resident?,Generally we do not allow others to start service for someone else but there are some exceptions including: Conservatorship Estate Guardianship Power of Attorney and Trusts. If you have one of these exceptions please call us at 800-542-8818 7am – 7pm M-F and we will be happy to help. Please have the appropriate documentation available when you call. If legal documentation of the above is not available please have the individual taking over responsibility either request service online Portlandgeneral.com or call us at 800-542-8818 7am to 7pm M-F.
I am moving from one location to another and have a gap or overlap in dates as a resident. Is this okay?,Yes we understand different circumstances can cause you to have different dates for starting and stopping services. We are happy to accommodate in most of these cases.
I am moving into a location where the service is off. What do I do?,We are unable to process this request online. To ensure power is restored safely give us a call at 800-542-8818 7am to 7pm M-F to process your request. Please note if you are aware service has been off for 6 or more months and/or repairs or upgrades have been made to the electrical equipment at the home a passed city or county inspection will also be required before we can restore service. 
I currently have service and need to add an additional one as a resident. Can I do this?,Yes. As an existing customer we would be happy to start service at another address. We will need the address of the property and the date that you accepted responsibility. Please note if you have previously been registered with our online services your email address and password will be helpful to have available.
I am moving into my newly constructed home how do I start service?,Congratulations! Whether you are an existing customer or starting service with us for the first time we are happy to help you online or over the phone at  M-F 7am – 7pm. Please note in some circumstances the new address may be pending in our billing system and a call will be required.
What information is required for starting service as a Sole Proprietor?,To start service as a Sole Proprietor you will need: Service address or meter number contact Information social security number or driver's license number and start date of service
What information is required for starting service as a General Business?,To start service as a General Business you will need your service address or meter number Contact Information your business name as it appears in the Oregon Secretary of State business registry Federal tax ID number and Start date of service
What are Renewable Energy Certificates and how do they contribute to renewable energy development?,A Renewable Energy Certificate (REC) is created when a megawatt-hour of renewable energy is produced and delivered to the power grid. Purchasing RECs helps increase demand for and drive development of more renewable energy sources.
